year,co2,co2_per_capita,trade_co2,cement_co2,cement_co2_per_capita,coal_co2,coal_co2_per_capita,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,oil_co2,oil_co2_per_capita,other_industry_co2,other_co2_per_capita,co2_growth_prct,co2_growth_abs,co2_per_gdp,co2_per_unit_energy,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_co2,cumulative_cement_co2,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_oil_co2,cumulative_other_co2,trade_co2_share,share_global_co2,share_global_cement_co2,share_global_coal_co2,share_global_flaring_co2,share_global_gas_co2,share_global_oil_co2,share_global_other_co2,share_global_cumulative_co2,share_global_cumulative_cement_co2,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,total_ghg,ghg_per_capita,total_ghg_excluding_lucf,ghg_excluding_lucf_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,population,gdp,primary_energy_consumption,energy_per_capita,energy_per_gdp
1880,4705.817,62.067,0.0,0.0,0.0,4635.385,60.675,0.0,0.0,0.0,0.0,70.429,1.391,0.0,0.0,1245.03,540.669,15.343,0.0,0.0,0.0,0.0,106223.076,0.0,105772.837,0.0,0.0,450.169,0.0,0.0,551.25,400.0,552.91,0.0,0.0,458.07,0.0,570.69,400.0,571.25,0.0,0.0,465.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3413327016.0,1064213397760.0,0.0,0.0,0.0
1881,4855.252,60.584,0.0,0.0,0.0,4774.602,59.0,0.0,0.0,0.0,0.0,80.647,1.585,0.0,0.0,170.64,149.429,14.527,0.0,0.0,0.0,0.0,111078.328,0.0,110547.438,0.0,0.0,530.886,0.0,0.0,550.21,400.0,551.87,0.0,0.0,467.39,0.0,569.76,400.0,570.34,0.0,0.0,465.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3437917078.0,1099377311744.0,0.0,0.0,0.0
1882,5099.361,63.656,0.0,0.0,0.0,5010.393,61.979,0.0,0.0,0.66,0.006,88.313,1.667,0.0,0.0,716.28,244.467,15.019,0.0,0.0,0.0,0.0,116176.589,0.004,115556.732,0.0,0.66,619.192,0.0,0.0,547.19,400.0,548.88,0.0,400.0,465.98,0.0,568.71,400.0,569.37,0.0,400.0,465.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3463804081.0,1139680709888.0,0.0,0.0,0.0
1883,5414.239,67.655,0.0,0.0,0.0,5333.028,66.008,0.0,0.0,1.524,0.014,79.686,1.633,0.0,0.0,734.36,314.866,15.696,0.0,0.0,0.0,0.0,121592.46,0.004,120891.393,0.0,2.184,698.797,0.0,0.0,546.32,400.0,547.46,0.0,400.0,482.43,0.0,567.71,400.0,568.4,0.0,400.0,467.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3491273487.0,1167344785408.0,0.0,0.0,0.0
1884,5451.025,68.444,0.0,0.0,0.0,5356.374,66.532,0.0,0.0,4.688,0.044,89.958,1.87,0.0,0.0,274.39,36.74,15.788,0.0,0.0,0.0,0.0,127041.849,0.004,126246.132,0.0,6.872,788.752,0.0,0.0,543.93,400.0,545.1,0.0,400.0,490.64,0.0,566.63,400.0,567.32,0.0,400.0,469.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3687611163.0,1414375332096.0,0.0,0.0,0.0
1885,5486.304,68.644,0.0,0.0,0.0,5375.681,66.483,0.0,0.0,14.86,0.136,95.757,2.025,0.0,0.0,415.29,35.25,16.066,0.0,0.0,0.0,0.0,132528.15,0.008,131621.814,0.0,21.736,884.509,0.0,0.0,543.36,400.0,544.62,0.0,400.0,504.77,0.0,565.6,400.0,566.38,0.0,400.0,473.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3724825581.0,1496189981696.0,0.0,0.0,0.0
1886,5548.983,68.883,0.0,0.0,0.0,5411.062,66.402,0.0,0.0,30.704,0.277,107.22,2.206,0.0,0.0,316.23,62.711,15.855,0.0,0.0,0.0,0.0,138077.108,0.008,137032.84,0.0,52.44,991.734,0.0,0.0,541.11,400.0,543.25,0.0,400.0,491.05,0.0,564.58,400.0,565.44,0.0,400.0,475.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3754893010.0,1517499639296.0,0.0,0.0,0.0
1887,5811.196,72.178,0.0,0.004,0.0,5647.065,69.374,0.0,0.0,47.148,0.417,116.98,2.385,0.0,0.0,15279.33,261.126,16.159,0.0,0.0,0.0,0.0,143888.297,0.012,142679.906,0.0,99.588,1108.711,0.0,0.0,539.7,400.0,542.16,0.0,400.0,498.02,0.0,563.52,400.0,564.46,0.0,400.0,477.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3788438443.0,1572897849344.0,0.0,0.0,0.0
1888,6365.691,78.536,0.0,0.004,0.0,6174.95,75.44,0.0,0.0,67.096,0.58,123.643,2.519,0.0,0.0,641.42,554.49,17.347,0.0,0.0,0.0,0.0,150255.628,0.012,148856.498,0.0,166.684,1232.351,0.0,0.0,533.88,400.0,536.53,0.0,400.0,502.83,0.0,562.26,400.0,563.27,0.0,400.0,480.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3819382645.0,1593921109504.0,0.0,0.0,0.0
1889,6437.335,78.617,0.0,0.004,0.0,6248.375,75.503,0.0,0.0,48.908,0.415,140.059,2.701,0.0,0.0,751.94,71.645,17.047,0.0,0.0,0.0,0.0,156691.329,0.016,155103.23,0.0,215.588,1372.41,0.0,0.0,540.11,400.0,542.75,0.0,400.0,492.85,0.0,561.29,400.0,562.39,0.0,400.0,481.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3882904394.0,1681080068096.0,0.0,0.0,0.0
