year,motorizedMerchantShipsOver100T
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,9600
1887,9969
1888,9890
1889,10260
1890,11705
1891,12193
1892,12308
1893,12558
1894,12907
1895,13256
1896,13652
1897,14183
1898,14701
1899,15324
1900,15898
1901,16528
1902,17156
1903,17781
1904,18467
1905,19153
1906,19877
1907,20746
1908,21550
1909,21909
1910,22008
1911,22478
1912,23217
1913,23897
1914,24444
1915,24508
1916,25694
1917,26881
1918,28068
1919,29255
1920,26513
1921,28443
1922,29255
1923,29246
1924,29024
1925,29205
1926,29092
1927,28967
1928,29387
1929,29612
1930,29996
1931,29952
1932,29332
1933,29515
1934,28964
1935,29071
1936,29197
1937,29524
1938,29409
1939,29763
1940,29710
1941,29657
1942,29604
1943,29551
1944,29498
1945,29445
1946,29392
1947,29366
1948,29340
1949,30284
1950,30852
1951,31226
1952,31461
1953,31797
1954,32358
1955,32492
1956,33052
1957,33804
1958,35202
1959,36221
1960,36311
1961,37792
1962,38661
1963,39571
1964,40859
1965,41865
1966,43014
1967,44375
1968,47444
1969,50276
1970,52444
1971,55041
1972,57391
1973,59606
1974,61194
1975,63724
1976,65887
1977,67945
1978,69020
1979,71129
1980,73832
1981,73864
1982,75151
1983,76106
1984,76068
1985,76395
1986,76495
1987,75281
1988,75799
1989,75025
1990,78301
1991,78931
1992,79726
1993,80655
1994,80676
1995,82890
1996,84264
1997,85494
1998,85828
1999,86817
2000,83544
2001,84116
2002,84689
2003,85262
2004,85835
2005,86408
2006,86980
2007,87553
2008,88126
2009,88699
2010,89272
2011,89844
2012,90417
2013,90990
2014,91563
2015,92136
2016,92708
2017,93281
2018,93854
2019,94427
2020,95000
2021,97625
