Year,No_Smoothing,Lowess(5)
1880,13.72,13.8
1881,13.81,13.76
1882,13.79,13.73
1883,13.72,13.69
1884,13.62,13.66
1885,13.57,13.64
1886,13.59,13.63
1887,13.54,13.63
1888,13.73,13.64
1889,13.8,13.65
1890,13.55,13.65
1891,13.68,13.65
1892,13.63,13.64
1893,13.59,13.64
1894,13.6,13.66
1895,13.67,13.68
1896,13.79,13.69
1897,13.79,13.72
1898,13.62,13.73
1899,13.72,13.73
1900,13.82,13.7
1901,13.75,13.67
1902,13.62,13.64
1903,13.53,13.62
1904,13.43,13.59
1905,13.63,13.56
1906,13.67,13.54
1907,13.51,13.52
1908,13.47,13.5
1909,13.41,13.49
1910,13.46,13.49
1911,13.46,13.51
1912,13.54,13.55
1913,13.56,13.58
1914,13.75,13.59
1915,13.76,13.6
1916,13.54,13.6
1917,13.44,13.6
1918,13.6,13.6
1919,13.62,13.61
1920,13.63,13.62
1921,13.71,13.64
1922,13.62,13.65
1923,13.64,13.66
1924,13.63,13.67
1925,13.68,13.68
1926,13.79,13.68
1927,13.68,13.69
1928,13.7,13.7
1929,13.54,13.71
1930,13.75,13.71
1931,13.81,13.72
1932,13.75,13.73
1933,13.62,13.74
1934,13.78,13.75
1935,13.71,13.77
1936,13.76,13.8
1937,13.87,13.84
1938,13.9,13.89
1939,13.88,13.93
1940,14.03,13.97
1941,14.09,13.99
1942,13.97,14.01
1943,13.99,14.0
1944,14.11,13.98
1945,13.99,13.94
1946,13.83,13.91
1947,13.87,13.86
1948,13.79,13.83
1949,13.79,13.82
1950,13.73,13.82
1951,13.83,13.83
1952,13.91,13.83
1953,13.98,13.83
1954,13.77,13.84
1955,13.76,13.84
1956,13.71,13.85
1957,13.95,13.86
1958,13.96,13.89
1959,13.93,13.91
1960,13.87,13.93
1961,13.96,13.91
1962,13.93,13.89
1963,13.95,13.87
1964,13.7,13.86
1965,13.79,13.85
1966,13.84,13.84
1967,13.88,13.85
1968,13.82,13.87
1969,13.95,13.88
1970,13.93,13.9
1971,13.82,13.9
1972,13.91,13.9
1973,14.06,13.9
1974,13.83,13.91
1975,13.89,13.92
1976,13.8,13.94
1977,14.08,13.97
1978,13.97,14.02
1979,14.06,14.06
1980,14.16,14.1
1981,14.22,14.11
1982,14.04,14.12
1983,14.21,14.11
1984,14.06,14.11
1985,14.02,14.12
1986,14.08,14.14
1987,14.22,14.17
1988,14.29,14.21
1989,14.17,14.23
1990,14.35,14.23
1991,14.3,14.23
1992,14.12,14.23
1993,14.13,14.23
1994,14.21,14.24
1995,14.35,14.27
1996,14.23,14.3
1997,14.37,14.32
1998,14.51,14.35
1999,14.28,14.37
2000,14.29,14.4
2001,14.44,14.42
2002,14.53,14.45
2003,14.52,14.48
2004,14.43,14.51
2005,14.58,14.52
2006,14.54,14.52
2007,14.56,14.53
2008,14.44,14.54
2009,14.56,14.54
2010,14.63,14.55
2011,14.51,14.57
2012,14.55,14.6
2013,14.58,14.64
2014,14.65,14.69
2015,14.8,14.73
2016,14.92,14.78
2017,14.82,14.81
2018,14.75,14.83
2019,14.88,14.83
2020,14.91,14.85
2021,14.75,14.87
2022,14.79,14.89
2023,15.07,14.91
