Unnamed: 0,year,GMSL,pop,popChangePercent,avgtemp
0,1880,-158.725,1416809798.0,0.0,13.72
1,1881,-153.058,1426105951.0,0.656,13.81
2,1882,-169.883,1435992787.0,0.693,13.79
3,1883,-164.592,1446462862.0,0.729,13.72
4,1884,-143.75,1457062768.0,0.733,13.62
5,1885,-145.242,1467848591.0,0.74,13.57
6,1886,-147.575,1478740907.0,0.742,13.59
7,1887,-153.2,1489787234.0,0.747,13.54
8,1888,-151.075,1500961169.0,0.75,13.73
9,1889,-149.5,1511911862.0,0.73,13.8
10,1890,-147.525,1522654654.0,0.711,13.55
11,1891,-149.183,1533153361.0,0.69,13.68
12,1892,-146.042,1543410007.0,0.669,13.63
13,1893,-141.3,1553428030.0,0.649,13.59
14,1894,-150.983,1563584183.0,0.654,13.6
15,1895,-139.183,1573891839.0,0.659,13.67
16,1896,-146.817,1584287814.0,0.661,13.79
17,1897,-141.608,1594829656.0,0.665,13.79
18,1898,-132.217,1605496623.0,0.669,13.62
19,1899,-124.742,1616821756.0,0.705,13.72
20,1900,-130.1,1628775536.0,0.739,13.82
21,1901,-130.533,1641373284.0,0.773,13.75
22,1902,-125.917,1654625117.0,0.807,13.62
23,1903,-117.85,1668528525.0,0.84,13.53
24,1904,-128.158,1682609448.0,0.844,13.43
25,1905,-133.733,1696872640.0,0.848,13.63
26,1906,-126.883,1711323017.0,0.852,13.67
27,1907,-128.275,1725984670.0,0.857,13.51
28,1908,-130.792,1740858432.0,0.862,13.47
29,1909,-126.308,1755138020.0,0.82,13.41
30,1910,-126.417,1768819742.0,0.78,13.46
31,1911,-118.058,1781818137.0,0.735,13.46
32,1912,-121.167,1794303639.0,0.701,13.54
33,1913,-119.392,1806191150.0,0.663,13.56
34,1914,-113.05,1818268983.0,0.669,13.75
35,1915,-105.183,1830483713.0,0.672,13.76
36,1916,-107.117,1842773015.0,0.671,13.54
37,1917,-111.633,1855150908.0,0.672,13.44
38,1918,-113.217,1868150304.0,0.701,13.6
39,1919,-111.592,1881960860.0,0.739,13.62
40,1920,-110.25,1896695382.0,0.783,13.63
41,1921,-108.233,1912087252.0,0.812,13.71
42,1922,-109.125,1928251610.0,0.845,13.62
43,1923,-107.942,1945105667.0,0.874,13.64
44,1924,-115.233,1962228944.0,0.88,13.63
45,1925,-113.192,1979624158.0,0.887,13.68
46,1926,-106.692,1997272443.0,0.891,13.79
47,1927,-107.758,2015175290.0,0.896,13.68
48,1928,-111.65,2033359756.0,0.902,13.7
49,1929,-110.283,2052225865.0,0.928,13.54
50,1930,-106.317,2071815120.0,0.955,13.75
51,1931,-106.7,2092140968.0,0.981,13.81
52,1932,-101.033,2113176883.0,1.005,13.75
53,1933,-96.692,2134883926.0,1.027,13.62
54,1934,-102.042,2156859958.0,1.029,13.78
55,1935,-96.467,2179111163.0,1.032,13.71
56,1936,-100.392,2201736175.0,1.038,13.76
57,1937,-94.692,2224706842.0,1.043,13.87
58,1938,-92.075,2248106586.0,1.052,13.9
59,1939,-86.875,2270656946.0,1.003,13.88
60,1940,-92.192,2291963292.0,0.938,14.03
61,1941,-79.992,2312084166.0,0.878,14.09
62,1942,-80.05,2331121500.0,0.823,13.97
63,1943,-80.0,2349001182.0,0.767,13.99
64,1944,-86.442,2366905856.0,0.762,14.11
65,1945,-83.633,2384659222.0,0.75,13.99
66,1946,-76.108,2402289644.0,0.739,13.83
67,1947,-72.942,2421280133.0,0.791,13.87
68,1948,-68.217,2441885925.0,0.851,13.79
69,1949,-69.5,2467909478.0,1.066,13.79
70,1950,-67.3,2493094915.0,1.021,13.73
71,1951,-57.833,2543130380.0,1.75,13.83
72,1952,-60.383,2590270899.0,1.85,13.91
73,1953,-55.967,2640278797.0,1.93,13.98
74,1954,-58.933,2691979339.0,1.96,13.77
75,1955,-57.975,2746072141.0,2.01,13.76
76,1956,-63.117,2801002631.0,2.0,13.71
77,1957,-49.683,2857866857.0,2.03,13.95
78,1958,-48.308,2916108097.0,2.04,13.96
79,1959,-48.017,2970292188.0,1.86,13.93
80,1960,-44.267,3019233434.0,1.65,13.87
81,1961,-38.092,3068370609.0,1.63,13.96
82,1962,-43.317,3126686743.0,1.9,13.93
83,1963,-44.925,3195779247.0,2.21,13.95
84,1964,-52.825,3267212338.0,2.24,13.7
85,1965,-41.542,3337111983.0,2.14,13.79
86,1966,-46.967,3406417036.0,2.08,13.84
87,1967,-45.608,3475448166.0,2.03,13.88
88,1968,-44.808,3546810808.0,2.05,13.82
89,1969,-38.0,3620655275.0,2.08,13.95
90,1970,-39.942,3695390336.0,2.06,13.93
91,1971,-34.725,3770163092.0,2.02,13.82
92,1972,-25.592,3844800885.0,1.98,13.91
93,1973,-31.592,3920251504.0,1.96,14.06
94,1974,-19.717,3995517077.0,1.92,13.83
95,1975,-21.275,4069437231.0,1.85,13.89
96,1976,-22.35,4142505882.0,1.8,13.8
97,1977,-23.967,4215772490.0,1.77,14.08
98,1978,-17.567,4289657708.0,1.75,13.97
99,1979,-22.533,4365582871.0,1.77,14.06
100,1980,-16.525,4444007706.0,1.8,14.16
101,1981,-4.075,4524627658.0,1.81,14.22
102,1982,-9.858,4607984871.0,1.84,14.04
103,1983,-1.467,4691884238.0,1.82,14.21
104,1984,-2.392,4775836074.0,1.79,14.06
105,1985,-12.683,4861730613.0,1.8,14.02
106,1986,-12.058,4950063339.0,1.82,14.08
107,1987,-11.458,5040984495.0,1.84,14.22
108,1988,-6.758,5132293974.0,1.81,14.29
109,1989,-2.317,5223704308.0,1.78,14.17
110,1990,0.008,5316175862.0,1.77,14.35
111,1991,2.508,5406245867.0,1.69,14.3
112,1992,3.167,5492686093.0,1.6,14.12
113,1993,1.417,5577433523.0,1.54,14.13
114,1994,6.575,5660727993.0,1.49,14.21
115,1995,9.525,5743219454.0,1.46,14.35
116,1996,13.667,5825145298.0,1.43,14.23
117,1997,20.558,5906481261.0,1.4,14.37
118,1998,10.667,5987312480.0,1.37,14.51
119,1999,19.225,6067758458.0,1.34,14.28
120,2000,20.483,6148898975.0,1.34,14.29
121,2001,25.983,6230746982.0,1.33,14.44
122,2002,28.358,6312407360.0,1.31,14.53
123,2003,37.608,6393898365.0,1.29,14.52
124,2004,37.183,6475751478.0,1.28,14.43
125,2005,37.292,6558176119.0,1.27,14.58
126,2006,41.567,6641416218.0,1.27,14.54
127,2007,43.483,6725948544.0,1.27,14.56
128,2008,52.2,6811597272.0,1.27,14.44
129,2009,58.017,6898305908.0,1.27,14.56
130,2010,65.75,6985603105.0,1.27,14.63
131,2011,67.3,7073125425.0,1.25,14.51
132,2012,76.083,7161697921.0,1.25,14.55
133,2013,67.725,7250593370.0,1.24,14.58
134,2014,30.078,7339013419.0,1.22,14.65
135,2015,40.897,7426597537.0,1.19,14.8
136,2016,43.278,7513474238.0,1.17,14.92
137,2017,44.345,7599822404.0,1.15,14.82
138,2018,48.611,7683789828.0,1.1,14.75
139,2019,55.746,7764951032.0,1.06,14.88
140,2020,56.42,7840952880.0,0.98,14.91
141,2021,56.901,7909295151.0,0.87,14.75
