year,GMSL,pop,popChangePercent
1880,-158.725,6528988743.0,0.0
1881,-153.058,4597110550.0,0.0
1882,-169.883,4629279646.0,0.0
1883,-164.592,4663248425.0,0.0
1884,-143.75,4697632389.0,0.0
1885,-145.242,4732602652.0,0.0
1886,-147.575,4767913353.0,0.0
1887,-153.2,4803715170.0,0.0
1888,-151.075,4839926553.0,0.0
1889,-149.5,4875496581.0,0.0
1890,-147.525,7062707155.0,0.0
1891,-149.183,4944774904.0,0.0
1892,-146.042,4978325667.0,0.0
1893,-141.3,5011218623.0,0.0
1894,-150.983,5044555189.0,0.0
1895,-139.183,5078375805.0,0.0
1896,-146.817,5112491254.0,0.0
1897,-141.608,5147074506.0,0.0
1898,-132.217,5182063663.0,0.0
1899,-124.742,5219097902.0,0.0
1900,-130.1,7588830919.0,0.0
1901,-130.533,5299114560.0,0.0
1902,-125.917,5342109756.0,0.0
1903,-117.85,5387152730.0,0.0
1904,-128.158,5432771963.0,0.0
1905,-133.733,5478973938.0,0.0
1906,-126.883,5525781331.0,0.0
1907,-128.275,5573244415.0,0.0
1908,-130.792,5621388541.0,0.0
1909,-126.308,5667212183.0,0.0
1910,-126.417,8241900211.0,0.0
1911,-118.058,5751614408.0,0.0
1912,-121.167,5790381972.0,0.0
1913,-119.392,5906609247.0,0.0
1914,-113.05,5863934611.0,0.0
1915,-105.183,5901390638.0,0.0
1916,-107.117,5939041010.0,0.0
1917,-111.633,5976938000.0,0.0
1918,-113.217,6016713664.0,0.0
1919,-111.592,6059481433.0,0.0
1920,-110.25,8813915512.0,0.0
1921,-108.233,6179985987.0,0.0
1922,-109.125,6231854987.0,0.0
1923,-107.942,6286318792.0,0.0
1924,-115.233,6341618190.0,0.0
1925,-113.192,6397808502.0,0.0
1926,-106.692,6454798305.0,0.0
1927,-107.758,6512629512.0,0.0
1928,-111.65,6571090394.0,0.0
1929,-110.283,6631639623.0,0.0
1930,-106.317,9629593514.0,0.0
1931,-106.7,6759143325.0,0.0
1932,-101.033,6825862012.0,0.0
1933,-96.692,6894548555.0,0.0
1934,-102.042,6964056085.0,0.0
1935,-96.467,7034411429.0,0.0
1936,-100.392,7163777779.0,0.0
1937,-94.692,7178615614.0,0.0
1938,-92.075,7252352815.0,0.0
1939,-86.875,7323614918.0,0.0
1940,-92.192,10629229557.0,0.0
1941,-79.992,7436905008.0,0.0
1942,-80.05,7496128425.0,0.0
1943,-80.0,7551714292.0,0.0
1944,-86.442,7607578118.0,0.0
1945,-83.633,7662062108.0,0.0
1946,-76.108,7714705330.0,0.0
1947,-72.942,7787823763.0,0.0
1948,-68.217,7852269439.0,0.0
1949,-69.5,7933349973.0,0.0
1950,-67.3,14413207505.0,0.0
1951,-57.833,2543130380.0,1.75
1952,-60.383,2590270899.0,1.85
1953,-55.967,2640278797.0,1.93
1954,-58.933,2691979339.0,1.96
1955,-57.975,2746072141.0,2.01
1956,-63.117,2801002631.0,2.0
1957,-49.683,2857866857.0,2.03
1958,-48.308,2916108097.0,2.04
1959,-48.017,2970292188.0,1.86
1960,-44.267,3019233434.0,1.65
1961,-38.092,3068370609.0,1.63
1962,-43.317,3126686743.0,1.9
1963,-44.925,3195779247.0,2.21
1964,-52.825,3267212338.0,2.24
1965,-41.542,3337111983.0,2.14
1966,-46.967,3406417036.0,2.08
1967,-45.608,3475448166.0,2.03
1968,-44.808,3546810808.0,2.05
1969,-38.0,3620655275.0,2.08
1970,-39.942,3695390336.0,2.06
1971,-34.725,3770163092.0,2.02
1972,-25.592,3844800885.0,1.98
1973,-31.592,3920251504.0,1.96
1974,-19.717,3995517077.0,1.92
1975,-21.275,4069437231.0,1.85
1976,-22.35,4142505882.0,1.8
1977,-23.967,4215772490.0,1.77
1978,-17.567,4289657708.0,1.75
1979,-22.533,4365582871.0,1.77
1980,-16.525,4444007706.0,1.8
1981,-4.075,4524627658.0,1.81
1982,-9.858,4607984871.0,1.84
1983,-1.467,4691884238.0,1.82
1984,-2.392,4775836074.0,1.79
1985,-12.683,4861730613.0,1.8
1986,-12.058,4950063339.0,1.82
1987,-11.458,5040984495.0,1.84
1988,-6.758,5132293974.0,1.81
1989,-2.317,5223704308.0,1.78
1990,0.008,5316175862.0,1.77
1991,2.508,5406245867.0,1.69
1992,3.167,5492686093.0,1.6
1993,1.417,5577433523.0,1.54
1994,6.575,5660727993.0,1.49
1995,9.525,5743219454.0,1.46
1996,13.667,5825145298.0,1.43
1997,20.558,5906481261.0,1.4
1998,10.667,5987312480.0,1.37
1999,19.225,6067758458.0,1.34
2000,20.483,6148898975.0,1.34
2001,25.983,6230746982.0,1.33
2002,28.358,6312407360.0,1.31
2003,37.608,6393898365.0,1.29
2004,37.183,6475751478.0,1.28
2005,37.292,6558176119.0,1.27
2006,41.567,6641416218.0,1.27
2007,43.483,6725948544.0,1.27
2008,52.2,6811597272.0,1.27
2009,58.017,6898305908.0,1.27
2010,65.75,6985603105.0,1.27
2011,67.3,7073125425.0,1.25
2012,76.083,7161697921.0,1.25
2013,67.725,7250593370.0,1.24
2014,30.078,7339013419.0,1.22
2015,40.897,7426597537.0,1.19
2016,43.278,7513474238.0,1.17
2017,44.345,7599822404.0,1.15
2018,48.611,7683789828.0,1.1
2019,55.746,7764951032.0,1.06
2020,56.42,7840952880.0,0.98
2021,56.901,7909295151.0,0.87
