Unnamed: 0,year,GMSL,pop,popChangePercent,avgtemp,oilProductionInTWh,barrelsEquivalent,motorizedMerchantShipsOver100T,annualLoss
0,1880,-158.725,1416809798.0,0.0,13.72,0.0,0.0,0,0.0
1,1881,-153.058,1426105951.0,0.656,13.81,0.0,0.0,0,0.0
2,1882,-169.883,1435992787.0,0.693,13.79,0.0,0.0,0,0.0
3,1883,-164.592,1446462862.0,0.729,13.72,0.0,0.0,0,0.0
4,1884,-143.75,1457062768.0,0.733,13.62,0.0,0.0,0,0.0
5,1885,-145.242,1467848591.0,0.74,13.57,0.0,0.0,0,0.0
6,1886,-147.575,1478740907.0,0.742,13.59,0.0,0.0,9600,0.0
7,1887,-153.2,1489787234.0,0.747,13.54,0.0,0.0,9969,0.0
8,1888,-151.075,1500961169.0,0.75,13.73,0.0,0.0,9890,0.0
9,1889,-149.5,1511911862.0,0.73,13.8,0.0,0.0,10260,0.0
10,1890,-147.525,1522654654.0,0.711,13.55,0.0,0.0,11705,0.0
11,1891,-149.183,1533153361.0,0.69,13.68,0.0,0.0,12193,0.0
12,1892,-146.042,1543410007.0,0.669,13.63,0.0,0.0,12308,0.0
13,1893,-141.3,1553428030.0,0.649,13.59,0.0,0.0,12558,0.0
14,1894,-150.983,1563584183.0,0.654,13.6,0.0,0.0,12907,0.0
15,1895,-139.183,1573891839.0,0.659,13.67,0.0,0.0,13256,0.0
16,1896,-146.817,1584287814.0,0.661,13.79,0.0,0.0,13652,0.0
17,1897,-141.608,1594829656.0,0.665,13.79,0.0,0.0,14183,0.0
18,1898,-132.217,1605496623.0,0.669,13.62,0.0,0.0,14701,0.0
19,1899,-124.742,1616821756.0,0.705,13.72,0.0,0.0,15324,0.0
20,1900,-130.1,1628775536.0,0.739,13.82,234.94926,65497546.67564,15898,0.0
21,1901,-130.533,1641373284.0,0.773,13.75,262.83799,73180202.62688,16528,0.0
22,1902,-125.917,1654625117.0,0.807,13.62,285.3885698,90262613.55035,17156,0.0
23,1903,-117.85,1668528525.0,0.84,13.53,305.043263,105757865.101104,17781,0.0
24,1904,-128.158,1682609448.0,0.844,13.43,342.53839,124099071.86419,18467,0.0
25,1905,-133.733,1696872640.0,0.848,13.63,336.897832,141899772.31838,19153,0.0
26,1906,-126.883,1711323017.0,0.852,13.67,335.548755,134538681.743176,19877,0.0
27,1907,-128.275,1725984670.0,0.857,13.51,414.90024000000005,175948326.34828,20746,0.0
28,1908,-130.792,1740858432.0,0.862,13.47,448.53421,192326114.33002,21550,0.0
29,1909,-126.308,1755138020.0,0.82,13.41,471.31738999999993,201151245.64049,21909,0.0
30,1910,-126.417,1768819742.0,0.78,13.46,512.63879,222475197.54118,22008,0.0
31,1911,-118.058,1781818137.0,0.735,13.46,543.00469,232182829.01413,22478,0.0
32,1912,-121.167,1794303639.0,0.701,13.54,551.7504799999999,232073390.94598,23217,0.0
33,1913,-119.392,1806191150.0,0.663,13.56,608.330408,257748326.01854,23897,0.0
34,1914,-113.05,1818268983.0,0.669,13.75,626.566244,273421450.38005,24444,0.0
35,1915,-105.183,1830483713.0,0.672,13.76,672.5047500000001,287911092.8062,24508,0.0
36,1916,-107.117,1842773015.0,0.671,13.54,721.374028,309631850.43021,25694,0.0
37,1917,-111.633,1855150908.0,0.672,13.44,797.32953,343529881.54909,26881,0.0
38,1918,-113.217,1868150304.0,0.701,13.6,791.2587,364354404.6365,28068,0.0
39,1919,-111.592,1881960860.0,0.739,13.62,901.2436,400893163.95559,29255,0.0
40,1920,-110.25,1896695382.0,0.783,13.63,1154.579848,472657217.15317,26513,0.0
41,1921,-108.233,1912087252.0,0.812,13.71,1248.30603,495144232.47152,28443,0.0
