Year,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved
1993,319044.90864864865,-34.605405405405406,87.60378378378378,-34.62945945945946,-34.483783783783785,87.60702702702703,-34.50756756756757,-34.508378378378374
1994,323836.88216216216,-30.95108108108108,87.41243243243244,-30.89891891891892,-30.58432432432432,87.41891891891892,-30.532432432432433,-30.531891891891895
1995,317986.1548648649,-28.645945945945947,85.33675675675676,-27.971351351351352,-28.019459459459462,85.33783783783784,-27.359189189189188,-27.35810810810811
1996,323979.2402777778,-26.59638888888889,84.19444444444444,-26.140833333333333,-25.744166666666665,84.18861111111111,-25.28861111111111,-25.287222222222223
1997,321345.6340540541,-22.68243243243243,97.98918918918919,-22.345945945945946,-21.591081081081082,98.0,-21.254864864864867,-21.255675675675676
1998,320066.6156756757,-25.06054054054054,96.1608108108108,-24.968108108108105,-23.726486486486486,96.16108108108108,-23.634054054054054,-23.634864864864866
1999,318321.0894594595,-21.81243243243243,86.69918918918918,-21.61027027027027,-20.22864864864865,86.67324324324323,-20.027027027027028,-20.0272972972973
2000,320497.35756756755,-18.425405405405407,85.88027027027027,-18.605675675675673,-16.59756756756757,85.88027027027027,-16.778108108108107,-16.777027027027028
2001,323126.6854054054,-13.219189189189189,83.88216216216216,-13.276216216216216,-11.145405405405405,83.92108108108108,-11.203243243243243,-11.202702702702704
2002,329781.34527777776,-9.372777777777777,85.36944444444445,-9.383888888888889,-7.059722222222223,85.42472222222221,-7.07,-7.068333333333333
2003,324636.8581081081,-6.318108108108109,86.52486486486487,-6.260810810810811,-3.7635135135135136,86.59027027027028,-3.7059459459459463,-3.707297297297297
2004,325639.5691891892,-4.425135135135135,85.52081081081081,-4.546216216216217,-1.6235135135135135,85.54243243243243,-1.745135135135135,-1.7451351351351354
2005,326065.11945945944,-0.030810810810810753,84.5681081081081,-0.0013513513513513525,3.015405405405405,84.54054054054055,3.045945945945946,3.0456756756756755
2006,326130.4358333333,1.0916666666666666,85.32361111111112,1.1130555555555555,4.3725,85.32444444444444,4.394166666666667,4.505
2007,334325.84135135135,1.4878378378378379,84.63054054054054,1.5675675675675675,5.022432432432433,84.61864864864864,5.102432432432432,5.102702702702703
2008,327961.5002777778,3.5491666666666664,86.25611111111111,3.4994444444444444,7.328888888888888,86.23527777777777,7.27861111111111,7.279722222222222
2009,331113.2335135135,8.411351351351351,84.5308108108108,8.363513513513514,12.431351351351351,84.5662162162162,12.382972972972974,12.381891891891891
2010,334573.4748648649,9.391351351351352,86.68243243243244,9.42081081081081,13.653513513513513,86.69432432432433,13.682162162162163,13.68108108108108
2011,334977.9691891892,8.42972972972973,87.35405405405405,8.522162162162163,12.935945945945946,87.35513513513513,13.027567567567568,13.027027027027026
2012,334590.03405405406,19.255675675675676,84.55513513513513,19.16864864864865,24.002972972972973,84.59675675675676,23.9172972972973,23.9172972972973
2013,317516.7048648649,21.304054054054053,84.43945945945946,21.34189189189189,26.298648648648648,84.46243243243244,26.336216216216215,26.337027027027027
2014,332957.3308333333,24.850833333333334,84.50472222222223,24.760833333333334,30.078333333333333,84.70666666666666,29.986666666666665,29.987222222222222
2015,333484.30756756756,35.42135135135135,94.59351351351351,35.49810810810811,40.89675675675676,94.89189189189189,40.972972972972975,40.97081081081081
2016,332000.9248648649,37.55972972972973,90.92054054054054,37.51945945945946,43.27837837837838,91.1172972972973,43.23837837837838,43.23756756756757
2017,334522.0032432432,38.38108108108108,84.60216216216216,38.38297297297297,44.34513513513514,84.84756756756757,44.34486486486487,44.343513513513514
2018,334443.8645945946,42.40513513513513,86.03513513513514,42.464864864864865,48.61054054054054,86.20513513513514,48.67135135135135,48.67189189189189
2019,319270.7124324324,49.299189189189185,87.77594594594595,49.19432432432433,55.74567567567568,88.00054054054054,55.63972972972973,55.63972972972973
2020,317381.6591666667,49.717777777777776,87.21527777777777,49.85166666666667,56.41972222222222,87.32805555555555,56.553333333333335,56.55555555555556
2021,335409.5861111111,50.03111111111111,85.78611111111111,50.01555555555555,56.90111111111111,85.57111111111111,56.88166666666667,59.26611111111111
