Year,OilProductionInTWh,BarrelsDayEquiv
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,6.61747,3892629.385
1900,6.61747,3892629.385
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,1.41886,834623.5236
1900,0.44194,259964.7041
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,7.54787,4439923.498
1900,0,0
1900,0,0
1900,120.27746,70751446.56
1900,127.825325,75191367.12
1900,7.54787,4439923.498
1900,7.5478697,4439923.322
1900,0,0
1900,0,0
1900,0.5815,342058.8211
1900,0,0
1900,0,0
1900,0,0
1900,106.05397,62384687.8
1900,0.02326,13682.35285
1900,1.67472,985129.4049
1900,3.61693,2127605.867
1900,0,0
1900,0,0
1900,0,0
1900,0.02326,13682.35285
1900,1.32582,779894.1122
1900,0,0
1900,0,0
1900,0,0
1900,5.29165,3112735.272
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,100.06452,58861481.94
1900,100.06452,58861481.94
1900,0,0
1900,106.05397,62384687.8
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0.44194,259964.7041
1900,0,0
1900,4.03561,2373888.219
1900,0,0
1900,2.88424,1696611.753
1900,0,0
1900,0.44194,259964.7041
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,0,0
1900,120.27746,70751446.56
1900,0,0
1900,0,0
1900,98.64566,58026858.42
1900,123.60364,72708023.02
1900,0,0
1900,234.94926,138205446.1
1900,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,10.350699,6088646.428
1901,10.3507,6088647.016
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,1.17463,690958.8187
1901,0.45357,266805.8805
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,8.74576,5144564.67
1901,0,0
1901,0,0
1901,134.48932,79111364.15
1901,143.23508,84255928.82
1901,8.74576,5144564.67
1901,8.74576,5144564.67
1901,0,0
1901,0,0
1901,0.51172,301011.7626
1901,0,0
1901,0,0
1901,0,0
1901,115.74176,68083387.76
1901,0.03489,20523.52927
1901,2.22133,1306664.697
1901,6.44302,3790011.738
1901,0,0
1901,0,0
1901,0,0
1901,0.02326,13682.35285
1901,1.68635,991970.5813
1901,0,0
1901,0,0
1901,0,0
1901,8.66435,5096676.435
1901,0,0
1901,0.02326,13682.35285
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,108.79865,63999205.43
1901,108.79865,63999205.43
1901,0,0
1901,115.76502,68097070.11
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0,0
1901,0.45357,266805.8805
1901,0,0
1901,4.71015,2770676.451
1901,0,0
1901,3.46574,2038670.574
1901,0,0
1901,0.45357,266805.8805
1901,0,0
1901,0,0
1901,0,0
