Year,OilProductionInTWh,BarrelsDayEquiv
1900,1295.8960047,762291762.1388
1901,1447.446529,851439128.77807
1902,1595.0312598,938253675.663093
1903,1718.8093225,1011064300.2729731
1904,1941.96578,1142332803.898763
1905,1943.582296,1143283695.589873
1906,1929.80079,1135176927.280045
1907,2408.2589749999997,1416622916.516753
1908,2621.785759,1542226906.18921
1909,2758.5313699999997,1622665500.4479098
1910,2995.4577400999997,1762033952.44725
1911,3177.2927,1868995692.8802629
1912,3224.31293,1896654651.470053
1913,3565.443958,2097319960.660133
1914,3668.369494,2157864393.167053
1915,3932.859002,2313446455.591023
1916,4213.048879,2478264029.2467628
1917,4678.6792096,2752164221.730843
1918,4705.114196,2767714213.682893
1919,5354.545129,3149732406.823073
1920,6884.3436241,4049613868.244343
1921,7457.9585,4387034380.93242
1922,8322.0088831,4895299308.726893
1923,9844.44586,5790850465.281853
1924,9802.63639,5766256659.6285305
1925,10253.426758,6031427462.15613
1926,10485.2937801,6167819827.905783
1927,11913.74891,7008087544.919233
1928,12417.40905,7304358213.541698
1929,13870.83345,8159313736.471313
1930,13172.06813,7748275316.48977
1931,12737.02472,7492367429.898332
1932,12157.397219999999,7151410079.183702
1933,13312.9307602,7831135686.685221
1934,14015.82474,8244602730.472055
1935,15273.65583,8984503366.642246
1936,16645.49571,9791467994.344276
1937,18937.36138,11139624262.583979
1938,18439.21409,10846596446.775528
1939,19187.95303,11287031115.661526
1940,19823.532856,11660901598.190266
1941,20332.68208,11960401138.473919
1942,19373.312461,11396066074.89969
1943,20861.26596,12271332831.496693
1944,23856.80498,14033414596.569122
1945,24007.02969,14121782072.62661
1946,25562.8794805,15036987825.366991
1947,28126.422805000002,16544954474.689573
1948,31912.697065,18772174612.35124
1949,31816.93549,18715844274.468365
1950,35802.140739,21060082641.23809
1951,40592.97983,23878223262.759197
1952,42702.38301,25119048655.476597
1953,45364.012129999996,26684712830.949116
1954,47564.51404,27979125709.664387
1955,53363.54441,31390320021.91114
1956,57867.553372,34039737039.739395
1957,60661.62651,35683309462.69185
1958,62531.195688,36783056031.8806
1959,67357.87699,39622280304.609695
1960,72698.30446,42763708204.79205
1961,77352.23591,45501314925.64156
1962,83756.5512,49268559185.67683
1963,89882.90856,52872298784.47876
1964,97092.5563802,57113268056.45317
1965,161091.10950064,94759475514.13539
1966,175116.71656104,103009832551.62024
1967,187694.77957874,110408693093.89388
1968,204440.9896282,120259404820.52597
1969,220066.20835929998,129450709895.53127
1970,242389.4805747,142582046398.10364
1971,257840.0603997,151670622702.4814
1972,273548.5719295,160910923536.86728
1973,299627.579645,176251516204.3249
1974,300830.43422,176959077711.93854
1975,284251.874324,167206983727.05518
1976,309433.136095,182019490541.38956
1977,320017.586924,188245638049.7225
1978,322251.09248399996,189559464838.93222
1979,335584.941402,197402905325.8767
1980,327858.59674581,192857996735.7932
1981,307540.995379925,180906466604.5172
1982,293173.10945197,172454769060.3298
1983,289254.70296423003,170149824083.9255
1984,295101.76658753003,173589273247.84616
1985,292454.599842455,172032116352.0937
1986,307737.91469915997,181022301498.1193
1987,308860.1075469,181682414931.2721
1988,322525.26865217,189720744938.6558
1989,327190.34725824,192464908802.37466
1990,339261.79665724,199565761341.6694
1991,331043.110365795,194731240029.97375
1992,336833.6713798,198137452366.6431
1993,337451.1860307,198500696275.92953
1994,343292.7091317,201936886311.2587
1995,348509.08289407,205005341445.96426
1996,357478.4875344,210281461783.18124
1997,366049.98003964,215323516162.1623
1998,375429.399127024,220840821468.05096
1999,367184.81633829,215991066921.29147
2000,383121.304690674,225365471769.8202
2001,381993.08291991503,224701811911.4213
2002,376342.828012079,221378132576.4773
2003,392389.660417881,230817445687.66028
2004,412177.093434007,242457112086.82077
2005,416313.227279024,244890131977.8291
2006,418224.927625954,246014661588.4692
2007,416899.428951594,245234956492.54456
2008,422427.660238242,248486857225.90836
2009,411498.934273634,242058194936.2745
2010,420291.324865004,247230189365.35492
2011,424633.827968909,249784602937.52594
2012,435817.038632928,256362962105.44775
2013,436182.778469439,256578103187.00284
2014,447202.288470029,263060167847.40833
2015,462342.897666333,271966408487.39514
2016,465618.580581918,273893280781.2691
2017,354590.335632,208582548912.168
2018,363157.84751500003,213622261748.914
2019,362727.352583,213369029438.33
2020,337983.267878,198813685592.13
2021,342077.922285,201222305816.08
