Year,oilProductionInTWh,barrelsEquivalent
1900,106.05397,62384687.8
1901,115.74176,68083387.76
1902,147.02646,86486152.34
1903,166.63463,98020369.9
1904,195.27933,114870193.3
1905,222.22603,130721193.2
1906,209.32837,123134334.4
1907,276.35205,162560028.3
1908,302.6126,178007410.5
1909,313.88208,184636516.4
1910,350.98178,206459869.1
1911,364.72842,214546127.9
1912,364.54236,214436680.9
1913,404.74725,238086616
1914,429.48425,252637792.3
1915,452.47678,266162809.9
1916,484.79657,285174450.9
1917,538.4341,316725939
1918,570.11426,335361327.1
1919,623.8681,366981232.7
1920,740.0634,435331408.7
1921,769.92926,452899561.5
1922,906.3142,533125996.3
1923,1185.8413,697553701
1924,1160.7671,682804171.7
1925,1239.3044,729002583.1
1926,1261.2269,741898171.3
1927,1459.0999,858294052.8
1928,1465.4033,862001935.1
1929,1635.3757,961985699.1
1930,1463.7053,861003111.6
1931,1389.7966,817527406
1932,1285.3359,756079935.9
1933,1458.8207,858129817.5
1934,1468.7876,863992699.8
1935,1610.7666,947509758.1
1936,1781.4834,1047931404
1937,2076.0247,1221190991
1938,1990.242,1170730580
1939,2083.7935,1225760874
1940,2237.961,1316447638
1941,2309.241,1358377049
1942,2290.2727,1347219226
1943,2483.8074,1461063166
1944,2763.1484,1625381400
1945,2814.3901,1655523577
1946,2922.7585,1719269694
1947,3200.1807,1882459222
1948,3607.754,2122208220
1949,3477.0095,2045299692
1950,3832.1313,2254194867
1951,4572.1133,2689478393
1952,4831.3,2841941157
1953,5066.458,2980269391
1954,5173.129,3043017038
1955,5620.4766,3306162683
1956,5941.267,3494862917
1957,6033.237,3548962916
1958,5950.7104,3500417858
1959,6260.4175,3682598504
1960,6526.116,3838891738
1961,6796.979,3998222913
1962,7175.4424,4220848441
1963,7516.911,4421712322
1964,7905.7373,4650433673
1965,8608.764,5063978788
1966,9372.631,5513312314
1967,9989.32,5876070547
1968,10695.13,6291252897
1969,11157.684,6563343483
1970,12139.987,7141168774
1971,13044.051,7672971123
1972,14168.406,8334356412
1973,15271.799,8983411114
1974,15226.734,8956902290
1975,13838.762,8140448178
1976,14975.214,8808949350
1977,15615.88,9185811700
1978,15589.947,9170556995
1979,16926.783,9956931107
1980,16669.219,9805422873
1981,16111.103,9477119345
1982,14030.953,8253501707
1983,13257.701,7798647592
1984,13557.009,7974711121
1985,13114.506,7714415240
1986,14070.5625,8276801413
1987,13514.166,7949509356
1988,14357.529,8445605235
1989,14135.914,8315243471
1990,14847.882,8734048174
1991,15775.625,9279779347
1992,16769.736,9864550519
1993,17079.605,10046826400
1994,17674.133,10396548751
1995,17854.338,10502551691
1996,18274.29,10749582278
1997,18360.797,10800468748
1998,18491.926,10877603453
1999,17736.887,10433462868
2000,18510.195,10888349924
2001,18146.396,10674350514
2002,17476.066,10280038752
2003,18493.36,10878446983
2004,18835.002,11079412864
2005,18807.21,11063064628
2006,18688.117,10993009923
2007,18293.016,10760597572
2008,18538.39,10904935218
2009,17681.46,10400858751
2010,17990.639,10582728749
2011,19172.73,11278076392
2012,20274.984,11926461093
2013,20811.877,12242280503
2014,21935.129,12903016969
2015,22947.596,13498585788
2016,23047.262,13557212846
2017,23057.021,13562953434
2018,24635.732,14491606957
2019,25383.656,14931562248
2020,24144.348,14202557548
2021,24171.145,14218320489
1900,0,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,0,0
1907,0,0
1908,0,0
1909,0,0
1910,0,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,0,0
1916,0,0
1917,0,0
1918,0,0
1919,0,0
1920,0,0
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,12.19484,7173435.244
1969,30.693363,18054919.29
1970,49.225204,28956002.15
1971,61.386726,36109838.57
1972,67.94268,39966282.07
1973,64.282326,37813132.68
1974,74.70649,43944993.81
1975,111.19105,65406499.54
1976,116.722046,68660026.58
1977,105.97897,62340570.15
1978,103.66249,60977934.87
1979,96.71305,56890029.01
1980,91.751656,53971561.98
1981,94.97569,55868052.55
1982,89.76361,52802123.16
1983,93.23833,54846076.09
1984,94.074486,55337932.55
1985,92.25454,54267376.09
1986,121.62011,71541240.68
1987,148.01161,87065652.33
1988,250.3525,147266175.4
1989,295.99164,174112728.2
1990,336.47385,197925792.7
1991,382.55493,225032310.2
1992,399.62476,235073386.6
1993,443.35513,260797133.5
1994,517.24835,304263733.2
1995,539.27136,317218444.8
1996,539.13745,317139674.3
1997,544.6961,320409468.3
1998,549.05554,322973844.8
1999,593.3634,349037291.7
2000,673.17285,395984026.6
2001,716.74915,421617144.1
2002,766.6959,450997585.1
2003,778.3998,457882232.1
2004,775.5501,456205938
2005,756.25836,444857855.7
2006,745.00073,438235720.5
2007,776.3887,456699232.1
2008,740.6838,435696349.9
2009,736.1694,433040820.5
2010,720.8732,424043055.9
2011,551.484,324402350.7
2012,327.44104,192612375.1
2013,316.31775,186069263.4
2014,309.0195,181776175.2
2015,258.92682,152309893.1
2016,229.72037,135129628.5
2017,231.45493,136149957.9
2018,255.06073,150035722.5
2019,282.05533,165914898.8
2020,274.8931,161701822.4
2021,280.84256,165201504.7
1900,5.29165,3112735.272
1901,8.66435,5096676.435
1902,6.4197598,3776329.268
1903,13.153529,7737369.946
1904,15.68887,9228746.994
1905,19.003422,11178483.45
1906,19.387209,11404240.51
1907,22.75991,13388182.26
1908,24.34159,14318582.25
1909,28.07482,16514599.88
1910,27.22583,16015194.01
1911,29.98214,17636552.82
1912,29.98214,17636552.82
1913,33.424618,19661539.86
1914,35.331944,20783496.33
1915,36.97177,21748099.85
1916,41.577248,24457204.53
1917,45.56634,26803729.22
1918,49.28794,28992905.68
1919,57.64991,33911711.53
1920,63.453278,37325457.39
1921,71.81525,42244264.41
1922,79.09563,46526840.85
1923,92.81903,54599429.03
1924,101.36708,59627693.7
1925,105.57714,62104199.57
1926,107.01926,62952505.44
1927,121.44046,71435564.21
1928,134.23346,78960858.27
1929,142.6652,83920705.29
1930,146.27051,86041475.87
1931,138.7459,81615234.72
1932,152.41115,89653617.02
1933,165.0297,97076293.44
1934,176.98534,104109022.8
1935,176.29918,103705399.3
1936,188.89445,111114381.6
1937,222.3656,130803293.2
1938,224.97072,132335716.7
1939,229.62271,135072181.4
1940,221.7492,130440705
1941,189.20847,111299099.2
1942,169.37932,99634893.42
1943,208.16537,122450216.8
1944,211.86371,124625710.9
